Id,MSSubClass,MSZoning,LotFrontage,LotArea,Grvl,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
186,H,RM,90,22950,0,IR2,Lvl,1,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,Very Excellent,Excellent,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0,Gd,Gd,BrkTil,TA,TA,Mn,Unf,0,Unf,0,1107,1107,GasA,Ex,1,SBrkr,1518,1518,1,3608,0,0,2,1,4,1,Ex,12,Typ,2,Detchd,1993,Unf,3,840,Ex,TA,Y,0,260,0,0,1,0,0,6,2006,WD,Normal,475000
592,F,RL,97,13478,0,IR1,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Very Excellent,Average,2008,2008,Gable,CompShg,CemntBd,CmentBd,Stone,420,Ex,TA,PConc,Ex,TA,Gd,GLQ,1338,Unf,0,384,1722,GasA,Ex,1,SBrkr,1728,568,0,2296,1,0,2,1,3,1,Ex,10,Typ,1,BuiltIn,2008,RFn,3,842,TA,TA,Y,382,274,0,0,0,0,0,6,2009,ConLI,Normal,451950
528,F,RL,67,14948,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,268,Ex,TA,PConc,Ex,TA,Av,GLQ,1330,Unf,0,122,1452,GasA,Ex,1,SBrkr,1476,1237,0,2713,1,0,2,1,3,1,Ex,11,Typ,1,Attchd,2008,Fin,3,858,TA,TA,Y,126,66,0,0,0,0,0,11,2008,New,Partial,446261
474,A,RL,110,14977,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Good,Average,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,304,Gd,TA,PConc,Ex,TA,Gd,GLQ,1350,Unf,0,626,1976,GasA,Ex,1,SBrkr,1976,0,0,1976,1,0,2,0,2,1,Gd,7,Typ,1,Attchd,2006,RFn,3,908,TA,TA,Y,250,63,0,0,0,0,0,7,2007,New,Partial,440000
59,F,RL,66,13682,0,IR2,HLS,1,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,Very Excellent,Average,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,GasA,Ex,1,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,BuiltIn,2006,Fin,3,641,TA,TA,Y,192,0,1,0,0,0,0,10,2006,New,Partial,438780
350,F,RL,56,20431,0,IR2,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,870,Ex,TA,PConc,Ex,TA,No,GLQ,1410,Unf,0,438,1848,GasA,Ex,1,SBrkr,1848,880,0,2728,1,0,2,1,4,1,Ex,10,Typ,2,Attchd,2006,Fin,3,706,TA,TA,Y,0,0,0,0,0,0,0,4,2006,New,Partial,437154
390,F,RL,96,12474,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Very Excellent,Average,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,272,Ex,TA,PConc,Ex,TA,Av,GLQ,1280,Unf,0,402,1682,GasA,Ex,1,SBrkr,1742,590,0,2332,1,0,2,1,3,1,Ex,9,Typ,1,BuiltIn,2008,Fin,3,846,TA,TA,Y,196,134,0,0,0,0,0,8,2008,New,Partial,426000
1143,F,RL,77,9965,0,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Very Good,Average,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,340,Gd,TA,PConc,Ex,TA,Gd,GLQ,1150,Unf,0,316,1466,GasA,Ex,1,SBrkr,1466,1362,0,2828,1,0,3,0,4,1,Gd,11,Typ,1,BuiltIn,2006,RFn,3,1052,TA,TA,Y,125,144,0,0,0,0,0,4,2007,New,Partial,424870
665,A,RL,49,20896,0,IR2,Lvl,1,CulDSac,Gtl,Somerst,RRAn,Norm,1Fam,1Story,Very Good,Average,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Mn,GLQ,1721,Unf,0,356,2077,GasA,Ex,1,SBrkr,2097,0,0,2097,1,0,1,1,1,1,Ex,8,Typ,1,Attchd,2005,Fin,3,1134,TA,TA,Y,192,267,0,0,0,0,0,1,2006,New,Partial,423000
279,A,RL,107,14450,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Excellent,Average,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,GasA,Ex,1,SBrkr,2121,0,0,2121,0,0,2,1,3,1,Ex,8,Typ,1,Attchd,2007,Fin,3,732,TA,TA,Y,124,98,0,0,1,0,0,5,2007,New,Partial,415298
162,F,RL,110,13688,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,664,Gd,TA,PConc,Ex,TA,Av,GLQ,1016,Unf,0,556,1572,GasA,Ex,1,SBrkr,1572,1096,0,2668,1,0,2,1,3,1,Ex,10,Typ,2,BuiltIn,2003,Fin,3,726,TA,TA,Y,400,0,0,0,0,0,0,3,2008,WD,Normal,412500
1354,E,RL,56,14720,0,IR1,Lvl,1,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1.5Fin,Very Good,Average,1995,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,579,Gd,TA,PConc,Gd,TA,Av,GLQ,816,Unf,0,1217,2033,GasA,Ex,1,SBrkr,2053,1185,0,3238,1,0,2,1,4,1,Gd,9,Typ,1,Attchd,1996,Fin,3,666,TA,TA,Y,283,86,0,0,0,0,0,3,2010,WD,Normal,410000
232,F,RL,174,15138,0,IR1,Lvl,1,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Very Good,Average,1995,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,506,Gd,TA,PConc,Gd,TA,No,GLQ,689,Unf,0,773,1462,GasA,Ex,1,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,Ex,9,Typ,1,Attchd,1995,Fin,3,810,TA,TA,Y,0,146,1,0,0,0,0,7,2009,WD,Normal,403000
516,A,RL,94,12220,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Excellent,Average,2009,2009,Hip,CompShg,CemntBd,CmentBd,BrkFace,305,Ex,TA,CBlock,Ex,TA,No,GLQ,1436,Unf,0,570,2006,GasA,Ex,1,SBrkr,2020,0,0,2020,1,0,2,1,3,1,Ex,9,Typ,1,Attchd,2009,Fin,3,900,TA,TA,Y,156,54,0,0,0,0,0,9,2009,New,Partial,402861
662,F,RL,52,46589,0,IR2,Lvl,1,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Very Good,Good,1994,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,528,Gd,TA,PConc,Gd,Gd,No,GLQ,1361,Rec,1,88,1629,GasA,Ex,1,SBrkr,1686,762,0,2448,1,0,2,1,4,1,Gd,8,Typ,1,Attchd,1994,RFn,3,711,TA,TA,Y,517,76,0,0,0,0,0,7,2009,WD,Normal,402000
988,A,RL,83,10159,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Excellent,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450,Ex,TA,PConc,Ex,TA,Av,GLQ,1646,Unf,0,284,1930,GasA,Ex,1,SBrkr,1940,0,0,1940,1,0,2,1,3,1,Ex,8,Typ,1,Attchd,2010,Fin,3,606,TA,TA,Y,168,95,0,0,0,0,0,4,2010,New,Partial,395192
775,A,RL,110,14226,0,Reg,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Good,Average,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,375,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1935,1935,GasA,Gd,1,SBrkr,1973,0,0,1973,0,0,2,0,3,1,Gd,9,Typ,1,Attchd,2006,Fin,3,895,TA,TA,Y,315,45,0,0,0,0,0,7,2007,New,Partial,395000
1438,A,RL,96,12444,0,Reg,Lvl,1,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Good,Average,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,426,Ex,TA,PConc,Ex,TA,Av,GLQ,1336,Unf,0,596,1932,GasA,Ex,1,SBrkr,1932,0,0,1932,1,0,2,0,2,1,Ex,7,Typ,1,Attchd,2008,Fin,3,774,TA,TA,Y,0,66,0,1,0,0,0,11,2008,New,Partial,394617
379,A,RL,88,11394,0,Reg,Lvl,1,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Excellent,Poor,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,1,SBrkr,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Attchd,2010,Fin,3,834,TA,TA,Y,113,0,0,0,0,0,0,6,2010,New,Partial,394432
1182,L,RM,64,5587,0,IR1,HLS,1,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,Very Good,Average,2008,2008,Hip,CompShg,CemntBd,CmentBd,Stone,186,Ex,TA,PConc,Ex,TA,Gd,GLQ,1480,Unf,0,120,1600,GasA,Ex,1,SBrkr,1652,0,0,1652,1,1,2,0,2,1,Gd,5,Typ,1,Attchd,2008,Fin,2,482,TA,TA,Y,162,53,0,1,0,0,0,11,2008,New,Partial,392500
689,A,RL,60,8089,0,Reg,HLS,1,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Very Good,Above Average,2007,2007,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,Gd,TA,PConc,Gd,TA,Av,GLQ,945,Unf,0,474,1419,GasA,Ex,1,SBrkr,1419,0,0,1419,1,0,2,0,2,1,Gd,7,Typ,1,Attchd,2007,RFn,2,567,TA,TA,Y,140,0,0,0,0,0,0,10,2007,New,Partial,392000
225,A,RL,103,13472,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Excellent,Average,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922,Ex,TA,PConc,Ex,TA,Gd,GLQ,56,Unf,0,2336,2392,GasA,Ex,1,SBrkr,2392,0,0,2392,0,0,2,0,3,1,Ex,8,Typ,1,Attchd,2003,Fin,3,968,TA,TA,Y,248,105,0,0,0,0,0,6,2009,WD,Normal,386250
54,A,RL,68,50271,0,IR1,Low,1,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,Excellent,Average,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,1,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Attchd,1981,Fin,3,894,TA,TA,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,385000
826,A,RL,114,14803,0,Reg,Lvl,1,Inside,Gtl,NridgHt,PosN,PosN,1Fam,1Story,Very Excellent,Average,2007,2008,Hip,CompShg,CemntBd,CmentBd,BrkFace,816,Ex,TA,PConc,Ex,TA,Av,GLQ,1636,Unf,0,442,2078,GasA,Ex,1,SBrkr,2084,0,0,2084,1,0,2,0,2,1,Ex,7,Typ,1,Attchd,2007,Fin,3,1220,TA,TA,Y,188,45,0,0,0,0,0,6,2008,New,Partial,385000
113,F,RL,77,9965,0,Reg,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Good,Average,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,220,Gd,TA,PConc,Ex,TA,Av,GLQ,984,Unf,0,280,1264,GasA,Ex,1,SBrkr,1282,1414,0,2696,1,0,2,1,4,1,Ex,10,Typ,1,BuiltIn,2007,Fin,3,792,TA,TA,Y,120,184,0,0,1,0,0,10,2007,New,Partial,383970
478,F,RL,105,13693,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,772,Ex,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,2153,2153,GasA,Ex,1,SBrkr,2069,574,0,2643,0,0,2,1,3,1,Ex,9,Typ,1,BuiltIn,2006,Fin,3,694,TA,TA,Y,414,84,0,0,0,0,0,3,2007,WD,Normal,380000
1268,A,RL,89,13214,0,IR1,HLS,1,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Excellent,Average,2008,2009,Hip,CompShg,Stucco,CmentBd,None,0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2002,2002,GasA,Ex,1,SBrkr,2018,0,0,2018,0,0,2,0,3,1,Ex,10,Typ,1,Attchd,2009,Fin,3,746,TA,TA,Y,144,76,0,0,0,0,0,5,2010,WD,Normal,378500
1389,A,RL,42,14892,0,IR1,HLS,1,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Excellent,Average,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,160,Ex,TA,PConc,Ex,TA,Gd,GLQ,1320,Unf,0,426,1746,GasA,Ex,1,SBrkr,1746,0,0,1746,1,0,2,0,3,1,Ex,7,Typ,2,Attchd,2006,Fin,3,758,TA,TA,Y,201,39,0,0,0,0,0,10,2009,WD,Normal,377500
337,A,RL,86,14157,0,IR1,HLS,1,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Excellent,Average,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,Gd,GLQ,1249,Unf,0,673,1922,GasA,Ex,1,SBrkr,1922,0,0,1922,1,0,2,0,3,1,Gd,8,Typ,1,Attchd,2005,Fin,3,676,TA,TA,Y,178,51,0,0,0,0,0,7,2007,WD,Normal,377426
314,A,RL,150,70761,0,IR3,Low,1,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,Good,Average,1965,1965,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1236,Rec,1,80,2136,GasW,TA,1,SBrkr,2036,0,0,2036,2,0,2,0,3,1,TA,8,Typ,2,Attchd,1965,RFn,2,513,TA,TA,Y,0,0,0,0,0,0,0,6,2009,WD,Normal,375000
482,A,RL,72,11846,0,IR1,HLS,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Excellent,Average,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,562,Gd,TA,PConc,Ex,TA,Gd,GLQ,1567,Unf,0,225,1792,GasA,Ex,1,SBrkr,1792,0,0,1792,1,0,2,0,2,1,Ex,6,Typ,1,Attchd,2003,Fin,3,874,TA,TA,Y,206,49,0,0,0,0,0,8,2006,WD,Normal,374000
679,A,RL,80,11844,0,IR1,Lvl,1,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Very Good,Average,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,464,Gd,TA,PConc,Ex,TA,Mn,Unf,0,Unf,0,2046,2046,GasA,Ex,1,SBrkr,2046,0,0,2046,0,0,2,1,3,1,Gd,7,Typ,1,Attchd,2008,Fin,3,834,TA,TA,Y,322,82,0,0,0,0,0,7,2009,New,Partial,372500
152,A,RL,107,13891,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Good,Average,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,436,Gd,TA,PConc,Ex,TA,Gd,GLQ,1400,Unf,0,310,1710,GasA,Ex,1,SBrkr,1710,0,0,1710,1,0,2,0,2,1,Gd,6,Typ,1,Attchd,2007,RFn,3,866,TA,TA,Y,0,102,0,0,0,0,0,1,2008,New,Partial,372402
645,A,FV,85,9187,0,Reg,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Excellent,Average,2009,2009,Gable,CompShg,CemntBd,CmentBd,Stone,162,Ex,TA,PConc,Ex,TA,Mn,GLQ,1121,Unf,0,645,1766,GasA,Ex,1,SBrkr,1766,0,0,1766,1,0,2,1,2,1,Ex,7,Typ,1,Attchd,2009,Fin,3,478,TA,TA,Y,195,130,0,0,0,0,0,10,2009,New,Partial,370878
586,A,RL,88,11443,0,Reg,Lvl,1,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Very Good,Average,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,208,Gd,TA,PConc,Ex,TA,Gd,GLQ,1460,Unf,0,408,1868,GasA,Ex,1,SBrkr,2028,0,0,2028,1,0,2,0,2,1,Gd,7,Typ,2,Attchd,2005,RFn,3,880,TA,TA,Y,326,66,0,0,0,0,0,3,2006,New,Partial,369900
1229,L,RL,65,8769,0,Reg,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Excellent,Average,2008,2008,Hip,CompShg,MetalSd,MetalSd,BrkFace,766,Ex,TA,PConc,Ex,TA,No,GLQ,1540,Unf,0,162,1702,GasA,Ex,1,SBrkr,1702,0,0,1702,1,0,1,1,1,1,Ex,7,Typ,1,Attchd,2008,Fin,3,1052,TA,TA,Y,0,72,0,0,1,0,0,10,2008,New,Partial,367294
703,F,RL,82,12438,0,IR1,Lvl,1,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,Very Good,Average,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,466,Ex,TA,PConc,Ex,Gd,No,Unf,0,Unf,0,1234,1234,GasA,Ex,1,SBrkr,1264,1312,0,2576,0,0,2,1,4,1,Ex,10,Typ,1,BuiltIn,2006,Fin,3,666,TA,TA,Y,324,100,0,0,0,0,0,7,2006,New,Partial,361919
310,A,RL,90,12378,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Excellent,Average,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,GasA,Ex,1,SBrkr,1944,0,0,1944,1,0,2,0,3,1,Ex,8,Typ,3,Attchd,2003,Fin,3,708,TA,TA,Y,208,175,0,0,0,0,0,11,2006,WD,Normal,360000
609,G,RL,78,12168,0,Reg,HLS,1,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,Very Good,Above Average,1934,1998,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,PConc,Gd,TA,Mn,BLQ,428,Unf,0,537,965,GasA,TA,1,SBrkr,1940,1254,0,3194,0,0,2,1,4,1,TA,10,Typ,2,Basment,1934,Unf,2,380,TA,TA,Y,0,0,0,0,0,0,0,9,2007,WD,Alloca,359100
322,F,RL,99,12099,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Very Good,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,388,Gd,TA,PConc,Ex,TA,Av,GLQ,970,Unf,0,166,1136,GasA,Ex,1,SBrkr,1136,1332,0,2468,1,0,2,1,4,1,Gd,10,Typ,1,BuiltIn,2004,Fin,3,872,TA,TA,Y,184,154,0,0,0,0,0,6,2007,WD,Normal,354000
655,A,RL,91,10437,0,IR1,Lvl,1,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,Very Good,Above Average,1995,1995,Hip,CompShg,MetalSd,MetalSd,BrkFace,660,Gd,Gd,PConc,Gd,TA,Gd,GLQ,1696,Unf,0,413,2109,GasA,Ex,1,SBrkr,2113,0,0,2113,1,0,2,1,2,1,Gd,7,Typ,1,Attchd,1995,Fin,3,839,TA,TA,Y,236,46,0,0,0,0,0,8,2008,WD,Normal,350000
878,F,RL,74,8834,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2004,2005,Hip,CompShg,VinylSd,VinylSd,Stone,216,Gd,TA,PConc,Ex,TA,No,GLQ,1170,Unf,0,292,1462,GasA,Ex,1,SBrkr,1462,762,0,2224,1,0,2,1,4,1,Ex,10,Typ,1,Attchd,2004,Fin,3,738,TA,TA,Y,184,0,0,0,0,0,0,6,2009,WD,Normal,350000
991,F,RL,82,9452,0,Reg,Lvl,1,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Very Good,Average,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,423,Gd,TA,PConc,Gd,TA,No,GLQ,1074,Unf,0,322,1396,GasA,Ex,1,SBrkr,1407,985,0,2392,1,0,2,1,3,1,Gd,7,Typ,1,Attchd,1997,Fin,3,870,TA,TA,Y,0,70,0,0,0,0,0,6,2006,WD,Normal,348000
